Source,Target,Type,Id
GDSC001790059700.txt,Linda,person,1
GDSC001790059700.txt,John Reed,person,1
GDSC001790059700.txt,Jimmie Lee Walker,person,1
GDSC001790059700.txt,Alien,person,1
GDSC001790059700.txt,John,person,1
GDSC001790059700.txt,Harold J,person,3
GDSC001790059700.txt,Thurston,person,1
GDSC001790059700.txt,Jr.,person,1
GDSC001790059700.txt,Robert T. Britt,person,3
GDSC001790059700.txt,Harold Schmaltz,person,1
GDSC001790059700.txt,Labella,person,1
GDSC001790059700.txt,William C. Hamilton,person,4
GDSC001790059700.txt,B.B. Bailey,person,5
GDSC001790059700.txt,Harold Schmaltz Program Developer,person,1
GDSC001790059700.txt,Clarence Rushing,person,2
GDSC001790059700.txt,Charlie McClinton,person,4
GDSC001790059700.txt,William Holland,person,3
GDSC001790059700.txt,Jimmy Smith,person,1
GDSC001790059700.txt,Thomas R. Farmer,person,1
GDSC001790059700.txt,Ido,person,1
GDSC001790059700.txt,LANSOON N. B. TOLER,person,1
GDSC001790059700.txt,JOE U. BAIRD CLAUDE O. PERKIN,person,1
GDSC001790059700.txt,Morgan,person,1
GDSC001790059700.txt,Moorhead,person,2
GDSC001790059700.txt,DAVID MATTHEWS PEARLIK MCPHERSON TOMMY ROBINSON,person,1
GDSC001790059700.txt,Allen Chambers,person,1
GDSC001790059700.txt,Joseph L. Harris,person,1
GDSC001790059700.txt,Jim McCartney,person,1
GDSC001790059700.txt,Mytris P. Clifton,person,1
GDSC001790059700.txt,Jimmie Lee,person,1
GDSC001790059700.txt,Josephine Ross,person,1
GDSC001790059700.txt,Nathan Shaw,person,1
GDSC001790059700.txt,Denley,person,1
GDSC001790059700.txt,Negro Negro A. J. Allen,person,1
GDSC001790059700.txt,R. J. Allen,person,6
GDSC001790059700.txt,Patricia Short,person,1
GDSC001790059700.txt,H. HAMILTON,person,2
GDSC001790059700.txt,G. PERKIN,person,1
GDSC001790059700.txt,James F.,person,1
GDSC001790059700.txt,Colbert Crowe,person,10
GDSC001790059700.txt,John M. Schmaltz,person,3
GDSC001790059700.txt,J. C. Dillon,person,2
GDSC001790012500.txt,K Jasper Two JP,person,1
GDSC001790012500.txt,Law,person,1
GDSC001790012500.txt,Lauderdale Two JP,person,1
GDSC001790012500.txt,Ke,person,1
GDSC001790012500.txt,Marshall Two JP,person,1
GDSC001790012500.txt,K,person,1
GDSC001790012500.txt,J,person,1
GDSC001790012500.txt,Pike Two JP,person,1
GDSC001790012500.txt,Simpson Two JP,person,1
GDSC001790012500.txt,Heber Ladner,person,1
GDSC001790012500.txt,Lincoln Two JP,person,1
GDSC001790012500.txt,Kemper Two JP,person,1
GDSC001790012500.txt,Rankin Two JP,person,1
GDSC001790012500.txt,Kow,person,1
GDSC001790012500.txt,F. I. S. BOX,person,1
GDSC001790039200.txt,H.C. Mulholland Shirley Nelson,person,1
GDSC001790039200.txt,Wiley,person,1
GDSC001790039200.txt,Butler Derrick,person,1
GDSC001790039200.txt,James T. Broyhill,person,1
GDSC001790039200.txt,Mary McLeod Bethune,person,1
GDSC001790039200.txt,Smith,person,1
GDSC001790039200.txt,James Street Ruleville,person,2
GDSC001790039200.txt,Jennie Lofton,person,1
GDSC001790039200.txt,Elizabeth Holtzman,person,1
GDSC001790039200.txt,Theressa Hoover,person,1
GDSC001790039200.txt,Terrell,person,1
GDSC001790039200.txt,Anne,person,1
GDSC001790039200.txt,James L. Buckley,person,1
